team,player_id,player_name
ARS,393,Benjamin White
ARS,395,Brayden Clarke
ARS,383,David Raya Martín
ARS,405,Fábio Ferreira Vieira
ARS,413,Gabriel Fernando de Jesus
ARS,401,Gabriel Martinelli Silva
ARS,387,Gabriel dos Santos Magalhães
ARS,410,Ismeal Kabia
ARS,397,Josh Nichols
ARS,384,Kepa Arrizabalaga Revuelta
ARS,396,Maldini Kacurri
ARS,399,Martin Ødegaard
ARS,408,Martín Zubimendi Ibáñez
ARS,404,Mikel Merino Zazón
ARS,386,Tommy Setford
ARS,415,Viktor Gyökeres
AVL,444,Ben Broggio
AVL,434,Emiliano Buendía Stati
AVL,416,Emiliano Martínez Romero
AVL,419,Filip Marschall
AVL,446,Jamaldeen Jimoh-Aloba
AVL,418,Joe Gauci
AVL,447,Kadan Young
AVL,429,Lino da Cruz Sousa
AVL,420,Matty Cash
AVL,430,Yasin Özcan
AVL,449,Zépiqueno Redmond
AVL,427,Álex Moreno Lopera
BHA,597,Adrian Mazilu
BHA,562,Carl Rushworth
BHA,602,Charalampos Kostoulas
BHA,577,Charlie Tasker
BHA,590,Diego Gómez Amarilla
BHA,569,Ferdi Kadıoğlu
BHA,570,Igor Julio dos Santos de Paulo
BHA,576,Jacob Slater
BHA,592,Jeremy Sarmiento Morante
BHA,596,Joe Knight
BHA,582,Julio Enciso Espínola
BHA,563,Kjell Scherpen
BHA,595,Malick Yalcouyé
BHA,585,Matt O'Riley
BHA,566,Maxim De Cuyper
BHA,564,Olivier Boscagli
BHA,568,Pervis Estupiñán Tenorio
BHA,601,Stefanos Tzimas
BHA,561,Tom McGill
BHA,593,Tom Watson
BOU,492,Alex Paulsen
BOU,491,Callan McKenna
BOU,521,Daniel Adu-Adjei
BOU,519,Francisco Evanilson de Lima Barbosa
BOU,515,Hamed Traorè
BOU,502,Julio Soler Barreto
BOU,500,Julián Araujo Zúñiga
BOU,513,Luis Sinisterra Lucumí
BOU,494,Marcos Senesi Barón
BOU,497,Matai Akinmboni
BOU,488,Norberto Murara Neto
BOU,490,Will Dennis
BOU,489,Đorđe Petrović
BRE,543,Antoni Milambo
BRE,536,Benjamin Arthur
BRE,537,Benjamin Fredrick
BRE,524,Ellery Balcombe
BRE,544,Fábio Freitas Gouveia Carvalho
BRE,548,Gustavo Nunes Fernandes Gomes
BRE,527,Hákon Rafn Valdimarsson
BRE,557,Igor Thiago Nascimento Rodrigues
BRE,558,Iwan Morgan
BRE,526,Julian Eyestone
BRE,534,Mads Roerslev Rasmussen
BRE,525,Matthew Cox
BRE,551,Romelle Donovan
BRE,550,Yehor Yarmoliuk
BRE,552,Yunus Emre Konak
BUR,486,Ashley Barnes
BUR,461,Bashir Humphreys
BUR,471,Enock Agyei
BUR,452,Etienne Green
BUR,481,Jaydon Banel
BUR,462,Jordan Beyer
BUR,477,Josh Laurent
BUR,463,Lucas Pires Silva
BUR,469,Manuel Benson Hedilazio
BUR,474,Marcus Edwards
BUR,451,Max Weiß
BUR,482,Mike Trésor Ndayishimiye
BUR,465,Oliver Sonne
BUR,480,Oluwaseun Adewumi
BUR,457,Owen Dodgson
BUR,460,Quilindschy Hartman
BUR,464,Shurandy Sambo
BUR,453,Václav Hladký
BUR,483,Zian Flemming
CHE,617,Aarón Anselmino
CHE,629,Andrey Nascimento dos Santos
CHE,630,Dário Luís Essugo
CHE,621,Estêvão Almeida de Oliveira Gonçalves
CHE,606,Gabriel Słonina
CHE,632,João Pedro Junqueira de Jesus
CHE,631,Kendry Páez Andrade
CHE,610,Levi Samuels Colwill
